date,open,high,low,close,volume,pc_slow_upper,pc_slow_lower,pc_fast_upper,pc_fast_lower,signal
2012-01-30,107.39,108.96,106.0,107.64,8621,143.92,103.92,111.5,103.92,flat
2012-01-31,107.52,108.52,104.52,106.41,8608,142.4,103.92,108.96,103.92,flat
2012-02-01,106.97,106.97,103.04,104.66,7843,142.4,103.92,108.96,104.52,flat
2012-02-02,105.82,105.82,101.36,102.17,8388,140.69,103.04,108.52,103.04,flat
2012-02-03,104.0,104.0,95.92,96.78,10293,137.92,101.36,106.97,101.36,flat
2012-02-06,100.39,100.39,94.84,95.91,8844,136.2,95.92,105.82,95.92,flat
2012-02-07,98.15,98.15,94.72,95.65,10411,133.96,94.84,104.0,94.84,flat
2012-02-08,96.9,98.48,95.2,96.81,10424,130.89,94.72,100.39,94.72,flat
2012-02-09,96.86,102.88,96.86,100.41,11735,129.8,94.72,98.48,94.72,flat
2012-02-10,98.64,117.84,98.64,111.18,15408,129.8,94.72,102.88,95.2,flat
2012-02-13,104.91,107.04,102.96,104.61,12475,129.8,94.72,117.84,96.86,flat
2012-02-14,104.76,112.64,104.36,106.92,16040,129.8,94.72,117.84,98.64,flat
2012-02-15,105.84,112.96,105.84,109.77,16546,125.88,94.72,112.64,102.96,flat
2012-02-16,107.81,116.84,107.36,111.72,16773,125.72,94.72,112.96,104.36,flat
2012-02-17,109.77,109.77,105.04,106.62,8324,123.54,94.72,116.84,105.84,flat
2012-02-21,108.2,108.2,104.8,105.92,12595,120.92,94.72,116.84,105.04,flat
2012-02-22,107.06,107.24,103.04,105.12,13936,118.39,94.72,109.77,104.8,flat
2012-02-23,106.09,106.09,95.8,100.03,13397,117.84,94.72,108.2,103.04,flat
2012-02-24,103.06,103.06,94.52,97.69,12743,117.84,94.72,107.24,95.8,flat
2012-02-27,100.38,104.2,97.96,101.78,14171,117.84,94.52,106.09,94.52,flat
2012-02-28,101.08,102.52,99.44,101.07,10289,117.84,94.52,104.2,94.52,flat
2012-02-29,101.07,101.07,96.32,98.39,17154,117.84,94.52,104.2,97.96,flat
2012-03-01,99.73,99.73,95.68,97.0,13474,117.84,94.52,102.52,96.32,flat
2012-03-02,98.37,98.37,95.56,96.72,11605,117.84,94.52,101.07,95.68,flat
2012-03-05,97.55,98.76,96.2,97.35,12293,117.84,94.52,99.73,95.56,flat
2012-03-06,97.45,105.0,97.45,103.24,18571,117.84,94.52,98.76,95.56,flat
2012-03-07,100.35,103.4,98.76,100.94,11257,117.84,94.52,105.0,96.2,flat
2012-03-08,100.65,100.65,94.6,95.83,10971,117.84,94.52,105.0,97.45,flat
2012-03-09,98.24,98.24,91.4,93.1,12872,117.84,94.52,103.4,94.6,flat
2012-03-12,95.67,95.67,88.76,90.54,13814,117.84,91.4,100.65,91.4,flat
2012-03-13,93.11,93.11,84.28,85.72,17300,117.84,88.76,98.24,88.76,flat
2012-03-14,89.42,89.92,84.16,86.52,17236,116.84,84.28,95.67,84.28,flat
2012-03-15,87.97,89.8,86.4,87.85,15103,116.84,84.16,93.11,84.16,flat
2012-03-16,87.91,87.91,85.52,86.24,13346,116.84,84.16,89.92,84.16,flat
2012-03-19,87.07,87.07,80.44,83.29,18428,116.84,84.16,89.8,85.52,flat
2012-03-20,85.18,85.18,77.24,80.23,17782,109.77,80.44,87.91,80.44,flat
2012-03-21,82.71,82.71,72.56,74.62,21005,108.2,77.24,87.07,77.24,flat
2012-03-22,78.66,78.66,73.4,75.59,21510,107.24,72.56,85.18,72.56,flat
2012-03-23,77.13,77.13,68.88,71.73,23066,106.09,72.56,82.71,72.56,flat
2012-03-26,74.43,74.43,62.28,64.52,20267,105.0,68.88,78.66,68.88,flat
2012-03-27,69.47,69.47,63.36,66.24,16248,105.0,62.28,77.13,62.28,flat
2012-03-28,67.85,75.36,67.68,70.27,24725,105.0,62.28,74.43,62.28,flat
2012-03-29,69.06,73.64,68.28,71.13,20325,105.0,62.28,75.36,63.36,flat
2012-03-30,70.1,70.1,66.0,67.07,16935,105.0,62.28,75.36,67.68,flat
2012-04-02,68.58,68.58,64.76,66.84,12094,105.0,62.28,73.64,66.0,flat
2012-04-03,67.71,70.32,66.28,67.97,17246,105.0,62.28,70.1,64.76,flat
2012-04-04,67.84,73.4,67.84,71.08,16780,105.0,62.28,70.32,64.76,flat
2012-04-05,69.46,72.0,69.46,71.19,12355,103.4,62.28,73.4,66.28,flat
2012-04-09,70.32,76.0,70.32,75.17,13545,100.65,62.28,73.4,67.84,flat
2012-04-10,72.75,82.2,72.75,78.96,27317,98.24,62.28,76.0,69.46,flat
2012-04-11,75.85,80.56,75.85,78.88,17293,95.67,62.28,82.2,70.32,flat
2012-04-12,77.36,79.36,72.8,76.1,17371,93.11,62.28,82.2,72.75,flat
2012-04-13,76.73,77.28,72.88,75.08,19255,89.92,62.28,80.56,72.8,flat
2012-04-16,75.91,78.52,73.68,75.64,18051,89.8,62.28,79.36,72.8,flat
2012-04-17,75.78,75.78,70.88,72.39,16749,87.91,62.28,78.52,72.88,flat
2012-04-18,74.09,74.09,70.96,72.59,15133,87.07,62.28,78.52,70.88,flat
2012-04-19,73.34,75.48,71.12,73.19,18739,85.18,62.28,75.78,70.88,flat
2012-04-20,73.27,73.27,70.32,71.32,13448,82.71,62.28,75.48,70.96,flat
2012-04-23,72.29,76.12,72.29,74.3,15528,82.2,62.28,75.48,70.32,flat
2012-04-24,73.3,73.48,71.68,72.47,11604,82.2,62.28,76.12,70.32,flat
2012-04-25,72.88,72.88,67.08,68.05,15424,82.2,62.28,76.12,71.68,flat
2012-04-26,70.47,70.47,64.32,66.04,12828,82.2,63.36,73.48,67.08,flat
2012-04-27,68.26,68.26,64.2,64.93,12420,82.2,64.32,72.88,64.32,flat
2012-04-30,66.6,66.64,65.12,65.9,9810,82.2,64.2,70.47,64.2,flat
2012-05-01,66.25,66.25,63.32,64.94,11309,82.2,64.2,68.26,64.2,flat
2012-05-02,65.6,66.2,64.08,65.13,10702,82.2,63.32,66.64,63.32,flat
2012-05-03,65.36,66.96,63.8,65.26,13647,82.2,63.32,66.25,63.32,flat
2012-05-04,65.31,70.0,65.31,68.07,16711,82.2,63.32,66.96,63.8,flat
2012-05-07,66.69,70.8,66.69,69.06,12033,82.2,63.32,70.0,63.8,flat
2012-05-08,67.88,72.8,67.88,69.68,22143,82.2,63.32,70.8,65.31,flat
2012-05-09,68.78,73.16,68.78,71.24,22531,82.2,63.32,72.8,66.69,flat
2012-05-10,70.01,70.01,67.96,68.91,15313,80.56,63.32,73.16,67.88,flat
2012-05-11,69.46,70.76,67.68,69.74,11366,79.36,63.32,73.16,67.96,flat
